_name-ch,_name-en,camp
梁君彥,Andrew LEUNG,1
涂謹申,James TO,0
梁耀忠,LEUNG Yiu-chung,0
石禮謙,Abraham SHEK,1
張宇人,Tommy CHEUNG,1
李國麟,Prof Joseph LEE,0
林健鋒,Jeffrey LAM,1
黃定光,WONG Ting-kwong,1
李慧琼,Starry LEE,1
陳克勤,CHAN Hak-kan,1
陳健波,CHAN Kin-por,1
梁美芬,Dr Priscilla LEUNG,1
黃國健,WONG Kwok-kin,1
葉劉淑儀,Mrs Regina IP,1
謝偉俊,Paul TSE,1
梁國雄,LEUNG Kwok-hung,0
毛孟靜,Claudia MO,0
田北辰,Michael TIEN,1
何俊賢,Steven HO,1
易志明,Frankie YICK,1
胡志偉,WU Chi-wai,0
姚思榮,YIU Si-wing,1
馬逢國,MA Fung-kwok,1
莫乃光,Charles Peter MOK,0
陳志全,CHAN Chi-chuen,0
陳恒鑌,CHAN Han-pan,1
梁志祥,LEUNG Che-cheung,1
梁繼昌,Kenneth LEUNG,0
麥美娟,Alice MAK,1
郭家麒,Dr KWOK Ka-ki,0
郭偉强,KWOK Wai-keung,1
郭榮鏗,Dennis KWOK,0
張華峰,Christopher CHEUNG,1
張超雄,Dr Fernando CHEUNG,0
黃碧雲,Dr Helena WONG,0
葉建源,IP Kin-yuen,0
葛珮帆,Dr Elizabeth QUAT,1
廖長江,Martin LIAO,1
潘兆平,POON Siu-ping,1
蔣麗芸,Dr CHIANG Lai-wan,1
盧偉國,Ir Dr LO Wai-kwok,1
鍾國斌,CHUNG Kwok-pan,1
楊岳橋,Alvin YEUNG,0
尹兆堅,Andrew WAN,0
朱凱廸,CHU Hoi-dick,0
吳永嘉,Jimmy NG,1
何君堯,Dr Junius HO,1
何啟明,HO Kai-ming,1
林卓廷,LAM Cheuk-ting,0
周浩鼎,Holden CHOW,1
邵家輝,SHIU Ka-fai,1
邵家臻,SHIU Ka-chun,0
柯創盛,Wilson OR,1
容海恩,YUNG Hoi-yan,1
陳沛然,Dr Pierre CHAN,3
陳振英,CHAN Chun-ying,1
陳淑莊,Tanya CHAN,0
張國鈞,CHEUNG Kwok-kwan,1
許智峯,HUI Chi-fung,0
陸頌雄,LUK Chung-hung,1
劉國勳,LAU Kwok-fan,1
劉業強,Kenneth LAU,1
鄭松泰,Dr CHENG Chung-tai,0
鄺俊宇,KWONG Chun-yu,0
譚文豪,Jeremy TAM,0
羅冠聰,Nathan LAW,0
姚松炎,Dr YIU Chung-yim,0
劉小麗,Dr LAU Siu-lai,0
梁頌恆,Sixtus LEUNG,0
游蕙禎,YAU Wai-ching,0
范國威,Gary FAN Kwok-wai,0
區諾軒,AU Nok-hin,0
鄭泳舜,Vincent CHENG Wing-shun,1
謝偉銓,Tony TSE Wai-chuen,1
